 Find the second largest element in a Binary Search Tree,LinkedIn,2012,,,,,,,,,,,,,,,,,,,,,,
 How would you build and test a metric to compare two user's ranked lists of movie/tv show preferences?,Netflix,2015,,,,,,,,,,,,,,,,,,,,,,
"You're about to get on a plane to Seattle. You want to know if you should bring an umbrella. You call 3 random friends of yours who live there and ask each independently if it's raining. Each of your friends has a 2/3 chance of telling you the truth and a 1/3 chance of messing with you by lying. All 3 friends tell you that ""Yes"" it is raining. What is the probability that it's actually raining in Seattle?",Facebook,2013,,,,,,,,,,,,,,,,,,,,,,
 Write a function that takes in two sorted lists and outputs a sorted list that is their union.,Facebook,2013,,,,,,,,,,,,,,,,,,,,,,
 How do you test whether a new credit risk scoring model works? What data would you look at?,Square,2013,,,,,,,,,,,,,,,,,,,,,,
 What are the assumptions of linear regression?,Uber,2018,,,,,,,,,,,,,,,,,,,,,,
 What is stationary signal?,Uber,2018,,,,,,,,,,,,,,,,,,,,,,
 How would you like to use data to change the world?,Beachbody,2015,,,,,,,,,,,,,,,,,,,,,,
How would you calculate the number of draws you need to take so that you get 2 jellybeans of the same kind from a jar full of 3 kinds of jellybeans?,Allstate,2019,,,,,,,,,,,,,,,,,,,,,,
 How do you handle missing values in a dataset?,Red Ventures,2017,,,,,,,,,,,,,,,,,,,,,,
 What is a statistical method to control the number of features for large sparse matrices?,StubHub,2014,,,,,,,,,,,,,,,,,,,,,,
 Describe precision and recall.,IBM,2017,,,,,,,,,,,,,,,,,,,,,,
How would you estimate the prevalence of fake news on Facebook? Define a metric.,Facebook,2019,,,,,,,,,,,,,,,,,,,,,,
 Teach me about SVM.,FICO,2019,,,,,,,,,,,,,,,,,,,,,,
 How does the Random Forest algorithm work?,SparkCognition,2017,,,,,,,,,,,,,,,,,,,,,,
 Explain K-means Clustering to non-technical people.,Salesforce,2016,,,,,,,,,,,,,,,,,,,,,,
What was the angle between the clock hands at 3:15.,Humana,2015,,,,,,,,,,,,,,,,,,,,,,
 Why did you choose a linear SVM classifier for this analysis?,WeddingWire,2016,,,,,,,,,,,,,,,,,,,,,,
 How would you conduct an A/B test?,Apple,2019,,,,,,,,,,,,,,,,,,,,,,
 Tell me about a project that you're most proud of.,LockerDome,2019,,,,,,,,,,,,,,,,,,,,,,
 What is the total length of all the roads in San Francisco?,eBay,2016,,,,,,,,,,,,,,,,,,,,,,
 Tell us about a technology you are passionate about.,Avanade,2017,,,,,,,,,,,,,,,,,,,,,,
 How to choose the 'k' value when doing K-means clustering?,Intel Corporation,2019,,,,,,,,,,,,,,,,,,,,,,
 Write out a function to calculate the AUC of an ROC curve. ,Uber,2017,,,,,,,,,,,,,,,,,,,,,,
 Tell me about a time you had a difficult relationship with a co-worker and how you handled it.,Consultant at EAB,2016,,,,,,,,,,,,,,,,,,,,,,
 Explain the difference between normalization and regularization. ,Coffee Meets Bagel,2018,,,,,,,,,,,,,,,,,,,,,,
 What project at your previous job are you most proud of? Why?,Coffee Meets Bagel,2018,,,,,,,,,,,,,,,,,,,,,,
 Where is Naive Bayes useful?,ActiveCampaign,2017,,,,,,,,,,,,,,,,,,,,,,
 How would you measure the effectiveness of our operations team?,Airbnb,2017,,,,,,,,,,,,,,,,,,,,,,
How do you compare the performance of a machine learning model? What metrics would you use?,Travelport,2017,,,,,,,,,,,,,,,,,,,,,,
 Explain a random forest and KNN to me like I have no technical background.,Qualtrics,2019,,,,,,,,,,,,,,,,,,,,,,
 How would you find a change in time-series data?,FirstFuel Software,2017,,,,,,,,,,,,,,,,,,,,,,
 How do you interpret the coefficients of a logistic regression model?,Robinhood,2019,,,,,,,,,,,,,,,,,,,,,,
 Why do you want to leave your current company?,Schlumberger,2018,,,,,,,,,,,,,,,,,,,,,,
What is the difference between a Z-test and a T-test?,Lime,2018,,,,,,,,,,,,,,,,,,,,,,
 What features would you use to predict the number of likes on a Yelp review?,Yelp,2017,,,,,,,,,,,,,,,,,,,,,,
 What is the difference between a left join and a right join in SQL?,Credit Acceptance,2016,,,,,,,,,,,,,,,,,,,,,,
 How would you leverage Spotify's data to increase the plays of new music?,Spotify,2016,,,,,,,,,,,,,,,,,,,,,,
How would you solve a business's employee churn problem using data science.,Applied Civis Analytics,2016,,,,,,,,,,,,,,,,,,,,,,
 How do you measure the performance of Facebook’s Newsfeed feature?,Facebook,2017,,,,,,,,,,,,,,,,,,,,,,
You have been tasked with creating a prediction for the outcome of the 2020 elections. You are responsible for building your own dataset for this process. What do you do?,Civis Analytics,2014,,,,,,,,,,,,,,,,,,,,,,
 How would you calculate confusion matrix for multiclass classification? ,HeavyWater,2018,,,,,,,,,,,,,,,,,,,,,,
 Does an ROC curve change if you square the outputs used to generate it? Explain.,Affirm,2016,,,,,,,,,,,,,,,,,,,,,,
 How would you reverse a linked list?,Kahuna,2016,,,,,,,,,,,,,,,,,,,,,,
 Walk us through a favorite project you worked on recently.,ClearMetal,2019,,,,,,,,,,,,,,,,,,,,,,
 How would you prevent unnecessary ER visits.,Aetna,2018,,,,,,,,,,,,,,,,,,,,,,
" What metrics might you use to compare the relative performance of two different back-end engines for automated generation of Facebook ""Friend"" suggestions? ",Facebook,2015,,,,,,,,,,,,,,,,,,,,,,
 Can you explain the central limit theorem to someone who is not familiar with statistics and probability?,Samba TV,2017,,,,,,,,,,,,,,,,,,,,,,
 How many windows are there in New York City?,Aisle Rocket Studios,2018,,,,,,,,,,,,,,,,,,,,,,
 How would you prioritize which country to expand Slack into for furthering the International adoption? What metrics would you want to examine?,Slack,2018,,,,,,,,,,,,,,,,,,,,,,
 What is the computational complexity of finding the most frequent word in a document?,Salesforce,2015,,,,,,,,,,,,,,,,,,,,,,
How does MapReduce work? When would you use it?,Rubicon Project,2018,,,,,,,,,,,,,,,,,,,,,,
 How does a random forest calculate probabilities?,C3.ai,2019,,,,,,,,,,,,,,,,,,,,,,
 What are you looking for in your next role? ,SoundCloud,2017,,,,,,,,,,,,,,,,,,,,,,
 Why do you want to work here?,Tala,2018,,,,,,,,,,,,,,,,,,,,,,
 How can you statistically test whether the mean of two groups is unequal?,Stitch Fix,2019,,,,,,,,,,,,,,,,,,,,,,
Suppose likes are down 2% but engagement is up 5%. Is that good?,Facebook,2018,,,,,,,,,,,,,,,,,,,,,,
 How would you explain how Neural Networks work to a member of the Sales team?,QuantumBlack,2019,,,,,,,,,,,,,,,,,,,,,,
 Talk through how you would build a recommendation system for audiobooks.,Audible,2015,,,,,,,,,,,,,,,,,,,,,,
 How is an LSTM gate different from a vanilla RNN?,SparkCognition,2017,,,,,,,,,,,,,,,,,,,,,,
 How would you deal with imbalanced classes in a machine learning context?,ActiveCampaign,2017,,,,,,,,,,,,,,,,,,,,,,
 “Likes” and user minutes spent on a platform are increasing but total number of users is decreasing. What could be causing this?,Facebook,2017,,,,,,,,,,,,,,,,,,,,,,
 What features can we use to detect fraud transactions for new customers for which we do not have a lot of information about?,Amazon,2018,,,,,,,,,,,,,,,,,,,,,,
 How would you build a model to predict credit card fraud?,Capital One,2015,,,,,,,,,,,,,,,,,,,,,,
 What metric would you show small businesses if you were trying to have them sign up for Facebook Ads?,Facebook,2017,,,,,,,,,,,,,,,,,,,,,,