 How did you handle team members who don't co-operate?,Kyocera,2011,,,,,,,,,,,,,
 What is the hardest thing in moving a team to Agile?,Amazon,2012,,,,,,,,,,,,,
 How would you troubleshoot a slow download of content on a Kindle device?,Amazon,2011,,,,,,,,,,,,,
 Estimate the number of spark plugs in the state of California.,Google,2011,,,,,,,,,,,,,
 Tell me about a challenging team situation and how you overcame it.,Raytheon,2010,,,,,,,,,,,,,
 How do you deal with conflicting priorities?,Akamai,2013,,,,,,,,,,,,,
 What do you do when you find out two weeks before launch that a software feature still hasn't been implemented?,Apple,2011,,,,,,,,,,,,,
 How do you manage frequent ambiguity?,Juniper Networks,2013,,,,,,,,,,,,,
 Tell me about a time when you had to resolve a conflict between team members,Blue Cross and Blue Shield of North Carolina,2011,,,,,,,,,,,,,
 What is your greatest weakness?,Data Matrix Solutions,2015,,,,,,,,,,,,,
 What is your Proudest career achievement?,Covance,2012,,,,,,,,,,,,,
 Describe what tools you would use to track program milestones.,AGM Automotive,2012,,,,,,,,,,,,,
 How did you do risk management?,Tektronix,2011,,,,,,,,,,,,,
Give an example of a process that you created that did not work out.,Apple,2015,,,,,,,,,,,,,
 What will you do if the client asked for more features and you are already behind schedule,Apple,2009,,,,,,,,,,,,,
 Tell me about a time that you had a difficult project issue and how did you handle it?,Cushman & Wakefield,2015,,,,,,,,,,,,,
 Tell me about a time when you had conflict with someone on your team (who was not a direct report) and how you handled it.,Symantec,2012,,,,,,,,,,,,,
 How did you build credibility with engineering teams?,Fujitsu,2014,,,,,,,,,,,,,
 What was a time you had to deal with a crisis at a previous job and how did you handle it?,MEDNAX,2015,,,,,,,,,,,,,
 What would you do if you received an estimate from a developer that did not line up with your own thoughts?,ThoughtWorks,2010,,,,,,,,,,,,,
Tell me about a time a project you managed went over consumed resources. How did you manage it?,Oracle,2018,,,,,,,,,,,,,
Tell me about a time youâ€™ve have to motivate a project team that does not report to you?,Gartner,2019,,,,,,,,,,,,,
 What was the largest program or event you planned. What did you learn?,The Climate Corp,2012,,,,,,,,,,,,,
 Tell us about a time when you were not able to meet client expectations and how you handled it.,consilium1,2013,,,,,,,,,,,,,
 Say you were hired to start a localization team at a brand new company. Tell me about the steps you would take to ensure a successful process.,Salesforce,2018,,,,,,,,,,,,,
 What is your passion?,Facebook,2017,,,,,,,,,,,,,
How many apples does the United States import from China?,Apple,2012,,,,,,,,,,,,,
Tell me about a project you led that did not go smoothly. How did you handle the issues?,Riverbed Technology,2016,,,,,,,,,,,,,
 Why are you leaving your current job?,Cisco Systems,2012,,,,,,,,,,,,,
 What type of software have you used to manage projects?,Community College Foundation,2015,,,,,,,,,,,,,
 Explain how our product works.,Facebook,2018,,,,,,,,,,,,,
 What's one way you've tried to influence a peer when you were not in a position of direct authority?,NIKE,2016,,,,,,,,,,,,,