 Write some pseudo code to raise a number to a power.,Facebook,2010,,,
 Describe and code an algorithm that returns the first duplicate character in a string.,Expedia Group,2012,,,
 What sorting algorithm would you use if you required tight max time bounds and wanted highly regular performance.,Google,2009,,,
 Write a method to decide if the given binary tree is a binary search tree or not.,Amazon,2012,,,
" In a given sorted array of integers,remove all the duplicates. ",Microsoft,2012,,,
 Implement a binary tree and explain it's function.,Google,2009,,,
 Write code in your favorite programming language that will accept two strings and return true if they are anagrams.,Microsoft,2010,,,
 What is an abstract class and why would you use it?,General Dynamics Mission Systems,2010,,,
 Write a method to determine if a string starts with an uppercase letter.,Help Scout,2016,,,
 Explain the development process of your previous project.,General Dynamics Mission Systems,2016,,,
 Suppose you had eight identical balls. One of them is slightly heavier and you are given a balance scale . What's the fewest number of times you have to use the scale to find the heavier ball?,Goldman Sachs,2009,,,
You have two lightbulbs and a 100-storey building. You want to find the floor at which the bulbs will break when dropped. Find the floor using the least number of drops.,Facebook,2009,,,
Write an algorithm to determine if 2 linked lists intersect,Amazon,2011,,,
 How would you determine if someone has won a game of tic-tac-toe on a board of any size?,Google,2009,,,
 Find number of ones in an integer.,Apple,2011,,,
 Find the deepest common ancestor of two nodes in a tree structure.,Amazon,2009,,,
 How many bottles of shampoo are produced in the world a year?,Vistaprint,2010,,,
" Given an array of integers where each element points to the index of the next element,how would you detect if there is a cycle in this array? ",Google,2010,,,
 Find the minimum depth of binary search tree,Facebook,2010,,,
 Write a function that divides two numbers without using the divide '/' operator.,Google,2010,,,
 Write a function to caculate the angle between hour and minute hand on a clock.,Google,2011,,,
Describe a routine which returns the set of integers in {1..100} divisible without remainder by 3 but not by 9.,LinkedIn,2012,,,